employeeId;DH020001;DH020022;DH020024;DH020021;DH020008;DH020023;DH020019;DH020018;DH020004;DH020009;DH000003;DH020089;DH020025;DH020026;Sum;
DH00124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00124;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00128;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00132;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00133;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00134;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00135;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00136;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00137;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00140;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00146;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00150;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00151;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00153;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00155;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00157;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00158;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00160;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00161;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00162;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00165;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00171;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00175;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00176;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00177;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00178;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00180;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00183;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
